,head,modality,L^1_{1}_std,L^1_{2}_std,R^2_{1}_std,R^2_{2}_std,DTW_std
0,Single Frame,bf,0.06605980523249795,0.04453012994592423,0.35248328745506907,0.26407495713575946,0.8634683838339734
0,Causal CNN,bf,0.07810042980685991,0.04928476491710711,0.4057585731553847,0.2647344972451358,0.916634226656502
0,LSTM,bf,0.06923367375378432,0.04712025868425503,0.3527658671666365,0.24625515129436873,0.8139837008156422
0,Causal Transformer,bf,0.07327525774352536,0.04842728540380346,0.36197659620416894,0.2655801883304965,0.8106759371928762
0,Mamba,bf,0.07209976097668955,0.048648296245789535,0.37185782296260766,0.25421280927233103,0.898325138065272
0,Transformer,bf,0.037651220246778805,0.036583904859676365,0.1458168440869273,0.13603540802561961,0.5529104400074536
0,Single Frame,h2b,0.10415157322097468,0.06370313187154532,0.5889043669231825,0.35847009041037714,1.2014058724685162
0,Causal CNN,h2b,0.10491640266015777,0.06064637481983546,0.5783678971682735,0.32994292554818005,1.2103169867131542
0,LSTM,h2b,0.06508008402569637,0.04420532566869309,0.3420353179098881,0.2487312542578284,1.16050901347767
0,Causal Transformer,h2b,0.05672284297398008,0.04173745271924823,0.26716640725712587,0.2238053813807931,0.9550776911160584
0,Mamba,h2b,0.05649705556565774,0.04000892107048094,0.2689228838243005,0.21092750759883735,0.9489481797538358
0,Transformer,h2b,0.03912145445353831,0.033422366814570725,0.14166259452679775,0.14173741650408647,0.6119946149737527
